strain_name,rep,experiment,inocl,t_m_h_flow,v_m_h_flow,exp_gr,lag,auc,odd_peaks,odd_width,width_peak,odd_shoulder,odd_double,shoulder_point_t,shoulder_point_v,cut_exp,timepeak,valpeak
SAC042W,A,OD,6,4.16666666666667,0.029,0.0111190617332457,1.18478913091754,0.140592207015592,0,0,34,0,0,0,0,0.0124170615969341,3.66666666666667,0.027
SAC042W,A,Heat flow,6,4.5,0.004281281,0.00200214861066351,1.44329814780763,0.0346116861818177,0,0,56,0,0,0,0,0.0020548059424347,4,0.00418984
SAC042W,A,OD,5,5.5,0.0273,0.0120449915570827,2.71406321172552,0.130240603789479,0,0,42,0,0,0,0,0.0142338062005434,4.83333333333333,0.0252
SAC042W,A,Heat flow,5,5.833333333,0.003616081,0.00143134531607195,2.53178681818755,0.0301767773288072,0,0,67,0,0,0,0,0.00151242482662227,5.333333333,0.003549717
SAC042W,A,OD,4,6.66666666666667,0.0271000000000001,0.0113586983562222,3.90271851097528,0.126426304131589,0,0,39,0,0,0,0,0.0114428400040834,6.66666666666667,0.0271000000000001
SAC042W,A,Heat flow,4,7.666666667,0.003965631,0.00142254756978297,4.23090002651102,0.028877126124506,0,0,55,0,0,0,0,0.00158587875624264,7.333333333,0.003893087
SAC042W,A,OD,3,7.66666666666667,0.0264,0.0115585872153977,5.09934430226255,0.123276700444113,0,0,42,0,0,0,0,0.012111408471133,7.33333333333333,0.0245
SAC042W,A,Heat flow,3,8,0.002993528,0.00123737997772324,4.88420203420993,0.0263040987510166,0,0,74,0,0,0,0,0.00121161167895374,7.166666667,0.002696944
SAC042W,A,OD,2,9.16666666666667,0.025,0.0112899230549045,6.28742061362796,0.12809125484385,0,0,47,0,0,0,0,0.0112439307901215,8.83333333333333,0.0241
SAC042W,A,Heat flow,2,10.5,0.002452401,0.000749834117495082,5.99928210737274,0.0229828336846293,0,0,74,0,0,0,0,0.000761279060152277,9.833333333,0.002443598
SAC042W,B,OD,6,4.16666666666667,0.0297,0.0110249698491608,1.19522784132572,0.139080126011418,0,0,36,0,0,0,0,0.0152910274565268,4.16666666666667,0.0297
SAC042W,B,Heat flow,6,4.666666667,0.003339256,0.0014848942457736,1.75584671968574,0.0262950375374328,0,0,64,0,0,0,0,0.00146678982341823,4.333333333,0.003291136
SAC042W,B,OD,5,5.5,0.0285,0.0106124971434383,2.30390836062938,0.122898208462878,0,0,27,0,0,0,0,0.0123739586058209,5,0.0269
SAC042W,B,Heat flow,5,6.166666667,0.003827337,0.00166960512738924,2.63748215074668,0.0352026614875139,0,0,66,0,0,0,0,0.00167421726222786,4.166666667,0.00249787
SAC042W,B,OD,4,6.5,0.026,0.0109886983331018,3.89479516735834,0.118268397798276,1,0,40,0,0,6.5,0.026,0.0130895823091508,6.5,0.026
SAC042W,B,Heat flow,4,6.833333333,0.003226542,0.00130850299827235,4.01814985384517,0.0281862157570391,0,0,72,0,0,0,0,0.00132419206445412,6.5,0.003090973
SAC042W,B,OD,3,7.83333333333333,0.0268,0.012655161380154,5.26354051222568,0.114881732402155,0,0,37,0,0,0,0,0.0136074339382141,7.33333333333333,0.0251999999999999
SAC042W,B,Heat flow,3,8.333333333,0.002991192,0.000978907561815545,4.61658257750202,0.0277722805919698,0,0,77,0,0,0,0,0.00099595114436917,8.333333333,0.002991192
SAC042W,B,OD,2,8.83333333333333,0.0283,0.0135059241698071,6.25662264426206,0.124707467930227,0,0,34,0,0,0,0,0.0134892138105227,8.5,0.0273
SAC042W,B,Heat flow,2,9.833333333,0.002844656,0.000989339088908271,6.4720317577652,0.0217333919179943,0,0,70,0,0,0,0,0.00105176692900872,9.5,0.00277361
SAC042W,C,OD,6,4.33333333333333,0.0306,0.014834082514205,1.86255080382785,0.136249198395512,0,0,33,0,0,0,0,0.0194378618776814,4,0.0301
SAC042W,C,Heat flow,6,4.833333333,0.003466025,0.00146684468342958,1.41943756849918,0.0327603724036735,0,0,67,0,0,0,0,0.00146499563506162,4.166666667,0.003389661
SAC042W,C,OD,5,5.33333333333333,0.0282,0.0105020888838468,2.48138108541392,0.122531615518501,0,0,40,1,0,4.33333333333333,0.0195,0.0107918153073892,4.33333333333333,0.0195
SAC042W,C,Heat flow,5,6,0.003947308,0.0015693267290958,2.98708454106901,0.0342747377042354,0,0,62,0,0,0,0,0.00159990197844792,5.666666667,0.003909911
SAC042W,C,OD,4,6.33333333333333,0.0256999999999999,0.0110316799160176,3.67325971980136,0.119068111456047,0,0,43,0,0,6.33333333333333,0.0256999999999999,0.01141662488407,6,0.024
SAC042W,C,Heat flow,4,6.833333333,0.003300098,0.00120872227571017,3.86147420205589,0.0290549183928077,0,0,81,0,0,0,0,0.00124855026055306,6.833333333,0.003300098
SAC042W,C,OD,3,8.33333333333333,0.0266,0.0113735164767894,5.03756407424786,0.121026965241859,0,0,34,1,0,7.33333333333333,0.0243,0.0110632158967885,7.33333333333333,0.0243
SAC042W,C,Heat flow,3,8.5,0.002626935,0.000842765589427407,4.59934391985479,0.0253855931034318,0,0,85,0,0,0,0,0.000831118031628641,8.166666667,0.002554727
SAC042W,C,OD,2,9.66666666666667,0.029,0.0104588836150054,6.66479660579938,0.12262560946483,0,0,32,0,0,0,0,0.0119743705194786,9.66666666666667,0.029
SAC042W,C,Heat flow,2,10,0.002403348,0.000710728306425949,6.1716925795301,0.0208182962889784,0,0,72,0,0,0,0,0.000706175770287517,9.5,0.002295389
