Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7
2940.843776	-0.534400299	-6.51075862	0.660092091	1.478439755	-3.172147318	-0.204643865	-1.500782809	-2.268273385	-0.618592716	1.052392854	2.017588704	-3.761698936	1.393445419	-2.191787762	-5.080116018	1.361795561	-2.756435158	-3.391327714	-3.018857719	-2.082918536	-3.486079875	-3.143335741	-2.080073031	-2.89598315
3840.843776	-0.375586537	-6.216305189	0.579201316	1.258649613	-2.76382064	-0.108595261	-1.037685415	-2.298223936	-0.858139022	0.156780929	1.800872602	-3.384684574	1.26391641	-1.925823857	-4.779992078	0.833992388	-2.423997991	-3.681019608	-1.956595966	-1.515453484	-3.21913059	-3.030123924	-1.65874484	-3.124802073
4740.843776	-0.041130838	-5.909981904	0.796053318	1.441867347	-2.162969618	0.181081057	-0.533689432	-2.071629008	-0.657036799	0.119901456	1.902019325	-2.765009292	1.436421778	-1.440609002	-4.092805822	0.908551783	-1.85508512	-3.509755938	-1.046010559	-0.982392076	-2.770201767	-2.569167013	-1.170482143	-3.043382482
5640.843776	0.226977304	-5.730835863	0.87661195	1.621666912	-1.652684927	0.380334479	-0.084516769	-1.939774742	-0.546817846	0.243384505	1.977366574	-2.331059149	1.670434521	-1.083239124	-3.631764778	1.001647195	-1.412073704	-3.343432148	-0.330738061	-0.582968508	-2.430470044	-2.160578641	-0.916695937	-3.020339465
6540.843776	0.597512332	-5.599204456	0.97825599	1.863822615	-1.23849127	0.551508971	0.34921448	-1.906202929	-0.442758611	0.453042554	2.03683593	-2.014730702	2.002976761	-0.813438896	-3.247848738	1.136248942	-1.11510834	-3.196346734	0.36347245	-0.298243145	-2.172582328	-1.751127864	-0.674504576	-2.996631013
7440.843776	0.85568498	-5.410998763	1.019358198	2.347664325	-0.892878154	0.690943081	0.921062894	-1.772773634	-0.339249472	0.781953522	2.075371925	-1.76258281	2.621959685	-0.58157032	-2.932212495	1.358135525	-0.854290452	-3.068940618	1.238147824	-0.062395384	-1.924543537	-1.218954313	-0.474705758	-2.941021497
8340.843776	1.85182603	-5.155070474	1.096726267	3.2252967	-0.537911589	0.797694331	1.71408964	-1.715281053	-0.261286163	1.256855526	2.154468079	-1.562784066	3.526544828	-0.363640147	-2.649806619	1.805185553	-0.584618502	-2.987142677	2.31488433	0.202270316	-1.723382282	-0.565797303	-0.257088921	-2.896821049
9240.843776	3.163401557	-4.868044422	1.166231129	4.499362127	-0.17672823	0.921601068	2.953615279	-1.461216665	-0.160968106	1.903568148	2.267289529	-1.397209421	4.964076988	-0.0354868	-2.39976949	2.373339952	-0.36578586	-2.871130188	3.907419151	0.499842881	-1.519312192	0.343078658	-0.028744496	-2.822319333
10140.84378	5.300410361	-4.440625464	1.276623843	5.906999154	0.235228885	0.965588682	4.904524326	-1.150752654	-0.030504808	2.954348073	2.414177425	-1.223001134	7.173494787	0.34262239	-2.129497055	3.303990056	-0.132956187	-2.772999861	6.196620574	0.932813473	-1.296616299	1.712733818	0.196937844	-2.793044845
11040.84378	7.934985665	-3.863710604	1.442882882	7.333120549	0.74674984	1.093979566	7.718128159	-0.698670966	0.153897453	4.503598596	2.655191614	-1.078478489	9.595768773	0.891882011	-1.832950297	4.605978657	0.186436098	-2.714549282	8.557040146	1.442232466	-0.991656295	3.841955147	0.542759798	-2.723945446
11940.84378	9.145718159	-3.104169276	1.60360814	9.162700793	1.470187683	1.24363749	9.781007093	-0.043093979	0.433724371	6.149818167	2.953227405	-0.929068152	10.0577753	1.506856372	-1.491574528	6.217308215	0.558414814	-2.565711115	9.826503827	2.169850875	-0.638750845	6.578938803	1.011542632	-2.641006707
12840.84378	11.9796644	-1.992616772	1.811043633	9.432220699	2.391868346	1.378856375	11.20086696	0.875665769	0.696977796	7.626826253	3.332313465	-0.77818915	11.56958998	2.465037909	-1.154245334	7.165591072	0.964613029	-2.442764528	11.87822925	3.262211687	-0.279908894	9.118185213	1.615784309	-2.568060029
13740.84378	13.23288493	-0.349406501	2.102481599	10.85789639	3.787517278	1.58925153	13.92543005	2.37321183	1.016836905	9.420952238	3.915104665	-0.607505753	14.35428588	3.97167967	-0.695557787	8.180053558	1.50958204	-2.331301497	14.39191643	4.950212241	0.21478864	13.24611877	2.58166789	-2.372304035
14640.84378	14.78966115	2.243307335	2.543161297	13.59533041	5.49276903	1.940715444	17.60079956	4.282915341	1.514955229	10.77563527	4.741548198	-0.413041486	16.81643694	6.165937812	-0.169074301	9.548898245	2.26324513	-2.180183941	17.75369836	7.066717803	0.850705768	17.23426981	3.966221106	-2.191344028
15540.84378	19.35833635	4.849522176	3.190606314	16.19610666	7.158485976	2.352726387	22.29355262	6.752204586	2.175097055	13.60407168	6.004396293	-0.157106326	19.90575632	9.113095939	0.557195936	10.91882999	3.307379368	-1.939614655	20.48850111	8.567486535	1.63807202	22.39108251	5.911107373	-1.895325695
16440.84378	22.83978934	7.135032657	4.08760532	18.98362191	7.937870148	2.953561067	27.84944304	9.078839036	3.121191727	18.14573039	7.990083838	0.188606605	23.15126852	11.60621274	1.591165836	13.16061355	4.749793099	-1.684182609	23.99144853	10.94870328	2.871028618	30.00086804	8.388890991	-1.476330206
17340.84378	28.17709388	9.450563215	5.461746633	22.58447771	9.681721647	3.919759514	33.89568949	10.54463414	4.436802411	22.54720979	9.889245344	0.622662468	26.90917744	13.20012871	3.033180156	16.59989532	6.274066785	-1.331114708	27.69374068	12.80810943	4.456657899	38.02658221	10.28315258	-0.893929662
18240.84378	34.47705816	12.86573134	7.550603727	27.63859777	11.92587994	5.389579473	40.52600927	13.73593204	6.428047717	28.18034196	11.96564115	1.16879413	30.25252887	15.36719006	5.05463362	21.12664684	7.801373714	-0.880108504	32.23968428	14.91671633	6.510254301	47.31772661	11.90972689	-0.037435229
19140.84378	41.10531113	17.42407652	9.985297069	33.56428288	14.79807999	7.041082615	47.31743138	17.49605228	9.397654956	35.0437542	14.11199789	2.016215829	34.66289067	18.81918484	7.407772493	25.60287898	9.435317185	-0.253929869	37.3533385	17.95744049	9.087244286	60.02178132	14.28557795	1.291075954
20040.84378	47.44761557	21.83724901	11.87758279	39.22079232	17.74208212	8.320452514	52.47492013	21.85783486	12.77923918	43.33186822	16.7237184	3.200037329	39.47659031	22.42397073	9.257068625	30.71981481	10.84129525	0.633122022	42.43123828	21.10088426	11.65715635	73.90035309	17.99067568	3.144683217
20940.84378	52.76914296	26.76309227	13.87827105	45.10669954	21.47388588	9.478033427	56.61590315	27.45557228	15.12968156	52.43549613	21.05535867	4.985094843	44.37054163	26.57803521	11.33469876	36.84908139	13.51797673	1.918129337	46.94148927	24.62436612	13.27581352	84.84322688	21.30903967	4.89189007
21840.84378	56.79145865	33.61448527	16.28628645	51.46180311	24.75854363	11.13013642	60.63625597	33.51877968	18.44827256	61.62968618	25.60053199	7.533697597	49.79235563	31.19701317	14.00132802	43.51214961	16.45756457	3.82282504	51.52015144	28.47002976	15.20523063	90.78413174	25.3895373	6.415990968
22740.84378	59.87876786	40.56588622	19.130057	56.65602403	28.45127571	13.53295255	62.43660909	40.69152074	22.70634913	70.66944051	31.07508801	9.936389394	54.89177772	35.41695827	17.43389606	50.58708731	19.99558639	6.175705537	55.14002372	32.52234643	16.73283708	89.15144655	29.54789006	8.866644152
23640.84378	61.94113851	46.87611129	22.54664288	61.73412917	32.55772565	16.04426713	62.92277647	48.1695915	27.6848532	79.1052238	37.80598481	12.17347797	59.43021892	39.92605388	20.64166366	55.58878623	23.68460179	7.819210804	57.27191411	36.97922327	18.63349164	82.17094314	35.15403496	12.20763444
24540.84378	61.18166114	52.55384184	26.31965744	65.19931027	37.37341911	18.82051212	60.60275266	54.96858563	32.88423313	85.9559337	45.33643744	15.07361806	62.73908252	44.48878088	23.91124703	60.20872642	27.61494697	9.417263814	59.27317922	42.69091141	21.19775949	79.07544917	41.97407605	15.42994341
25440.84378	59.48860191	56.83151681	30.85591758	68.269101	42.72636518	21.70648053	58.6059942	58.72427547	38.97889629	88.72300615	53.45799395	18.70701042	64.8901743	48.72454389	27.36120788	63.41313319	32.84773831	11.39850387	59.75337018	47.20484881	24.15431477	76.3534176	50.83083263	19.11891704
26340.84378	57.07815808	60.28501123	35.874453	69.37255495	47.75997298	24.81318837	57.14558797	60.67452445	45.86275715	89.38187804	61.2482476	23.9083736	64.80153373	53.01013799	31.49547768	65.15499639	38.15564396	14.35987712	59.08716644	51.51580487	28.21834635	73.59141407	60.49575757	23.42996164
27240.84378	55.71611624	62.42810771	41.52304572	71.09409766	52.42781307	28.09928939	55.13660368	60.73861414	52.9423016	86.04541853	67.11971865	28.88940556	66.68015084	56.50301483	35.94116875	64.69152182	43.04281266	17.64967807	58.79552209	55.27683403	32.7422588	73.54984634	70.20337138	28.77975401
