Time	B2	B3	B4	B5	B6	C2	C3	C4	C5	C6	D2	D3	D4	D5	D6	E2	E3	E4	E5	E6
2700	-0.848792618	-1.955703234	-7.137144825	3.133921339	4.410592876	3.642474769	-8.597951358	0.463918435	4.189478985	4.24921041	7.275157515	-0.661287133	2.122781046	2.698207988	3.231829188	6.370028367	2.875493395	-0.787629153	3.838015197	0.676262625
3600	-2.676590566	-3.308644324	-7.023199597	0.38819155	1.080721256	2.37727459	-9.085127831	-1.193479263	0.765544223	0.88999756	3.49475348	-3.162045606	-0.708340183	-0.330844891	0.031580489	3.517139462	0.15015987	-2.620148701	0.417606741	-1.352858912
4500	-2.000197664	-2.833299323	-5.661881808	0.079199502	0.427654725	3.53606744	-7.941039335	-0.826840986	0.349288633	0.452951717	3.174322652	-2.922043516	-0.532280431	-0.382153584	-0.143492809	3.091306092	-0.295350043	-2.256651566	-0.170797011	-1.061116597
5400	-1.405031639	-2.574102776	-4.678204676	-0.145816455	-0.058197496	4.807852312	-7.076712946	-0.518511429	0.084348599	0.180770749	2.950052512	-2.699505782	-0.440473357	-0.401624909	-0.276545771	2.871760728	-0.558795839	-2.091525465	-0.449810254	-0.961320892
6300	-0.875365765	-2.287264565	-3.999237441	-0.33066311	-0.349562094	6.172133779	-6.275889808	-0.353503419	-0.12726242	-0.074728188	3.027400517	-2.494783648	-0.396688147	-0.435941735	-0.368188994	2.963655059	-0.713743501	-1.968632924	-0.572094135	-0.887151788
7200	-0.314272023	-2.073054234	-3.534819395	-0.406840152	-0.5788143	7.414925992	-5.501901725	-0.154652588	-0.384544866	-0.246660613	3.352854775	-2.356393623	-0.389421	-0.47274358	-0.446618609	3.371556905	-0.769898634	-1.927147927	-0.679342671	-0.833160517
8100	0.456220288	-1.845764077	-3.065386332	-0.471961099	-0.689477921	8.760121214	-4.610227438	0.000116005	-0.464132966	-0.357800973	3.895571711	-2.11911801	-0.349080978	-0.509493646	-0.467576082	4.293513256	-0.72929562	-1.85501041	-0.674841731	-0.793817536
9000	1.481098121	-1.613244522	-2.642281004	-0.617564629	-0.805726909	10.66683038	-3.459724602	0.283242142	-0.607532159	-0.441318833	4.603076497	-1.868937161	-0.355975378	-0.511657553	-0.472770673	5.557420073	-0.615315972	-1.788124366	-0.706106803	-0.701229333
9900	2.674053108	-1.311515677	-2.305532055	-0.689233538	-0.856552138	13.58685761	-1.773162528	0.466610685	-0.652532631	-0.493097347	5.606795178	-1.602864202	-0.360708173	-0.505403753	-0.457121334	6.930927846	-0.443833716	-1.721683291	-0.703319215	-0.644170457
10800	4.081835332	-0.981332001	-1.954997318	-0.611405406	-0.851178211	17.4056714	0.237915715	0.828236556	-0.68010809	-0.550224531	6.377560905	-1.291876454	-0.324599041	-0.48586933	-0.416087626	8.063087925	-0.129700407	-1.620254453	-0.723972204	-0.642968293
11700	5.23343917	-0.64381609	-1.652119557	-0.623813291	-0.889968892	22.11173677	2.481851708	1.22662872	-0.686095663	-0.517167996	7.147074263	-0.937964219	-0.244193847	-0.486469484	-0.398492544	8.454335058	0.286549314	-1.526562882	-0.708972462	-0.604294703
12600	6.098521217	-0.265912473	-1.358401396	-0.659922325	-0.884573828	27.87469081	4.763745032	1.733743708	-0.65049903	-0.576550836	8.129450026	-0.561231597	-0.184365009	-0.439567845	-0.406150032	9.241900959	0.826857416	-1.44620429	-0.663236167	-0.597838903
13500	6.951745255	0.141509746	-1.106105934	-0.57523594	-0.902315249	34.37144163	6.435564959	2.39360887	-0.648567461	-0.509815982	9.228833582	-0.118956513	-0.105868816	-0.419163869	-0.396715083	10.46973312	1.60312417	-1.311961516	-0.660098328	-0.548411861
14400	8.030937093	0.605025976	-0.788146152	-0.673225511	-0.849912874	41.36686382	8.764221655	3.403733881	-0.49300807	-0.527434683	10.34580791	0.342947981	-0.048334435	-0.379446363	-0.368609314	12.14582595	2.674180877	-1.158092186	-0.599231849	-0.49399851
15300	9.386649078	1.198895369	-0.49654426	-0.553528433	-0.832440642	47.48606321	11.95486587	4.826510988	-0.349733738	-0.498045647	11.60344866	0.94607829	0.103043286	-0.361002822	-0.32240173	14.35324468	3.883594209	-0.953574053	-0.559881328	-0.46132652
16200	10.99655996	2.012328626	-0.159083603	-0.508628352	-0.801159156	51.36773727	15.9289143	6.572721933	-0.113569477	-0.402699901	13.08369935	1.671404814	0.264710808	-0.318213356	-0.289226247	17.07249607	5.097718306	-0.671249201	-0.494630721	-0.441462955
17100	12.94393253	2.896499051	0.137704871	-0.447647893	-0.750846332	53.91784579	20.55311909	8.732445623	0.233120161	-0.389883751	14.67459232	2.592756069	0.460066921	-0.213939345	-0.251593349	20.55403738	6.35734509	-0.405788482	-0.480341298	-0.404220314
18000	15.10937341	4.130347991	0.502455834	-0.380932082	-0.710432985	53.58384098	25.88229947	10.83829175	0.700144786	-0.266760346	16.34111492	3.382139378	0.625344024	-0.152196532	-0.185498879	24.29236789	7.578016952	0.081336254	-0.404819949	-0.400286319
18900	17.93516203	5.684412272	0.901038198	-0.313530425	-0.662437179	53.07574501	31.00540341	12.90994514	1.529368773	-0.120579499	18.24505092	4.205155017	0.819464962	-0.049782671	-0.149293282	27.83488622	8.812107479	0.742884805	-0.35788067	-0.378126386
19800	21.14992267	7.361855607	1.283112524	-0.208755432	-0.610775893	52.3318949	36.50292643	15.58450966	2.846435876	0.091095712	20.53048062	5.198757039	1.049969478	0.045899699	-0.075420301	31.04972294	10.31969826	1.634184107	-0.194930379	-0.306700009
20700	23.67413595	8.941874616	1.734895862	-0.055113871	-0.546166665	51.16863411	41.93406865	19.01293473	4.745449503	0.497759639	23.02228057	6.332494466	1.337824036	0.192358617	-0.030151742	34.01620375	12.09914176	2.994740452	-0.150753363	-0.276795763
