"","Time","rep","exp","variable","value","strain","inoc","drytime"
"1",0.75,29,0,"B2",0.002771456502,"Newman",6,0
"2",0.75,29,0,"B3",0.002639196992,"Newman",5,0
"3",0.75,29,0,"B4",0.01095047374,"Newman",4,0
"4",0.75,29,0,"B5",-0.003871772715,"Newman",3,0
"5",0.75,29,0,"B6",0.009360285767,"Newman",2,0
"6",0.75,29,0,"C2",0.006730724837,"RWW12",6,0
"7",0.75,29,0,"C3",0.003909520975,"RWW12",5,0
"8",0.75,29,0,"C4",0.009075311485,"RWW12",4,0
"9",0.75,29,0,"C5",0.000499300465,"RWW12",3,0
"10",0.75,29,0,"C6",0.007917965731,"RWW12",2,0
"11",0.75,29,0,"D2",0.003652467282,"SA3297",6,0
"12",0.75,29,0,"D3",-0.003237338237,"SA3297",5,0
"13",0.75,29,0,"D4",0.006230223972,"SA3297",4,0
"14",0.75,29,0,"D5",0.001933000086,"SA3297",3,0
"15",0.75,29,0,"D6",1.9186681e-05,"SA3297",2,0
"16",0.75,29,0,"E2",0.004556413924,"SA2704",6,0
"17",0.75,29,0,"E3",0.00357299159,"SA2704",5,0
"18",0.75,29,0,"E4",0.006187260013,"SA2704",4,0
"19",0.75,29,0,"E5",0.00424860526,"SA2704",3,0
"20",0.75,29,0,"E6",0.000514834398,"SA2704",2,0
"21",1,29,0,"B2",0.001254204899,"Newman",6,0
"22",1,29,0,"B3",-5.0124338e-05,"Newman",5,0
"23",1,29,0,"B4",0.007623401914,"Newman",4,0
"24",1,29,0,"B5",-0.004847402142,"Newman",3,0
"25",1,29,0,"B6",0.005681399023,"Newman",2,0
"26",1,29,0,"C2",0.005416785525,"RWW12",6,0
"27",1,29,0,"C3",0.000862998575,"RWW12",5,0
"28",1,29,0,"C4",0.005582676893,"RWW12",4,0
"29",1,29,0,"C5",-0.001618674557,"RWW12",3,0
"30",1,29,0,"C6",0.003888765778,"RWW12",2,0
"31",1,29,0,"D2",0.002464150582,"SA3297",6,0
"32",1,29,0,"D3",-0.005214284808,"SA3297",5,0
"33",1,29,0,"D4",0.002505897202,"SA3297",4,0
"34",1,29,0,"D5",-0.001251593191,"SA3297",3,0
"35",1,29,0,"D6",-0.002221365806,"SA3297",2,0
"36",1,29,0,"E2",0.003566760487,"SA2704",6,0
"37",1,29,0,"E3",0.001154556136,"SA2704",5,0
"38",1,29,0,"E4",0.003316031847,"SA2704",4,0
"39",1,29,0,"E5",0.0013256282,"SA2704",3,0
"40",1,29,0,"E6",-0.001334403718,"SA2704",2,0
"41",1.25,29,0,"B2",0.002221251221,"Newman",6,0
"42",1.25,29,0,"B3",-3.3691621e-05,"Newman",5,0
"43",1.25,29,0,"B4",0.006746643806,"Newman",4,0
"44",1.25,29,0,"B5",-0.003906301409,"Newman",3,0
"45",1.25,29,0,"B6",0.00449843431,"Newman",2,0
"46",1.25,29,0,"C2",0.006858908111,"RWW12",6,0
"47",1.25,29,0,"C3",0.000920624416,"RWW12",5,0
"48",1.25,29,0,"C4",0.004874177992,"RWW12",4,0
"49",1.25,29,0,"C5",-0.001328396446,"RWW12",3,0
"50",1.25,29,0,"C6",0.002993022298,"RWW12",2,0
"51",1.25,29,0,"D2",0.004327355711,"SA3297",6,0
"52",1.25,29,0,"D3",-0.004440326574,"SA3297",5,0
"53",1.25,29,0,"D4",0.002018165377,"SA3297",4,0
"54",1.25,29,0,"D5",-0.001336350307,"SA3297",3,0
"55",1.25,29,0,"D6",-0.001845681799,"SA3297",2,0
"56",1.25,29,0,"E2",0.005588912748,"SA2704",6,0
"57",1.25,29,0,"E3",0.001065878743,"SA2704",5,0
"58",1.25,29,0,"E4",0.002677158781,"SA2704",4,0
"59",1.25,29,0,"E5",0.000789414714,"SA2704",3,0
"60",1.25,29,0,"E6",-0.00121020382,"SA2704",2,0
"61",1.5,29,0,"B2",0.00378427191,"Newman",6,0
"62",1.5,29,0,"B3",6.1065448e-05,"Newman",5,0
"63",1.5,29,0,"B4",0.006054051938,"Newman",4,0
"64",1.5,29,0,"B5",-0.00337606466,"Newman",3,0
"65",1.5,29,0,"B6",0.003639316615,"Newman",2,0
"66",1.5,29,0,"C2",0.009083023686,"RWW12",6,0
"67",1.5,29,0,"C3",0.001056163251,"RWW12",5,0
"68",1.5,29,0,"C4",0.004432231833,"RWW12",4,0
"69",1.5,29,0,"C5",-0.001152493904,"RWW12",3,0
"70",1.5,29,0,"C6",0.00228142915,"RWW12",2,0
"71",1.5,29,0,"D2",0.006562439074,"SA3297",6,0
"72",1.5,29,0,"D3",-0.003732479561,"SA3297",5,0
