Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7
3018.134172	-4.48882675	-4.239092943	-6.560407484	1.667404049	13.90855261	-4.579470273	1.371313434	3.424386378	2.030372884	3.003747693	10.57285485	-1.823335552	-1.962867416	10.80024783	8.914512314	7.526850694	3.717345613	0.440263911	3.316233303	15.01336836	5.038983977	7.793895082	5.820251813	0.594174829
3918.134172	-4.917161444	-4.860284549	-6.441322678	1.164121363	11.995307	-4.524762078	0.403453291	1.520576113	0.801265545	2.270202043	8.775382501	-2.886473748	-2.510008979	7.788723003	3.716987496	4.773887815	1.635785228	-1.007073101	2.322190492	11.76326974	1.251364841	5.820116917	4.213608505	-0.556404357
4818.134172	-4.522416571	-4.440833105	-5.645304946	1.274382428	10.63409615	-3.836512973	0.508172396	1.09439499	0.724828736	2.407162024	8.08902086	-2.787662046	-2.054948298	6.676630207	2.256736344	4.123649815	1.101850351	-1.013602124	2.193835844	10.13921892	0.311076217	5.049104278	3.641942388	-0.623115352
5718.134172	-4.114396547	-4.09240174	-5.059890273	1.499236404	9.550002386	-3.361950515	0.729929888	0.763042232	0.704221951	2.592530328	7.537949218	-2.595491146	-1.585782518	5.872486743	1.591263743	3.814845634	0.717170323	-1.096228515	2.173140425	8.945233074	0.035065403	4.67653168	3.233706071	-0.77397426
6618.134172	-3.419331978	-3.720817129	-4.526036283	1.785006065	8.785170266	-2.888487802	1.185886653	0.539024993	0.635630183	2.989181436	7.17260871	-2.445974731	-1.025893888	5.310026226	1.259000512	3.803394768	0.505164766	-1.139472157	2.345247406	8.036632805	-0.049243581	4.668442076	2.887681129	-0.875596596
7518.134172	-2.339189186	-3.358763305	-4.09923929	2.269703743	8.190177874	-2.597354907	2.036246592	0.459041813	0.581785607	3.626490796	6.892336023	-2.258508482	-0.108597028	4.885311605	0.967191672	4.134727054	0.360274459	-1.171984743	2.832430392	7.357079209	-0.095619446	5.124146491	2.666167377	-0.991127492
8418.134172	-0.653377809	-2.944167938	-3.68031868	2.98553977	7.775382628	-2.236943793	3.48311772	0.491908586	0.58707614	4.718645905	6.712578245	-2.1362379	1.272435399	4.642063148	0.84343649	4.989101176	0.315760803	-1.21767485	3.668180238	6.876879004	-0.083199545	6.293498182	2.625241985	-1.04001854
9318.134172	1.822506878	-2.405582511	-3.44804152	4.124431424	7.535401106	-1.970085718	5.716119303	0.707265627	0.706082912	6.496304288	6.717520793	-1.972980751	3.417609304	4.582257854	0.792264421	6.105042309	0.441724252	-1.207712664	5.162187157	6.568278251	0.034091481	8.487893763	2.683564542	-1.081392637
10218.13417	4.515803725	-1.737652003	-3.290686387	5.782236256	7.43570535	-1.658727537	8.284470098	1.165831523	0.899270232	9.404943484	6.928794121	-1.802111126	4.495893088	4.694355055	0.865644219	7.511651176	0.712392027	-1.160883646	7.544070994	6.470343577	0.194659399	10.62631194	2.991799306	-1.116153523
11118.13417	6.568677778	-0.83210798	-2.951987265	7.434336703	7.426070587	-1.37781882	9.406295436	1.816886585	1.07520367	11.35642496	7.123845774	-1.570696199	6.48791778	5.031744364	0.991329363	8.555338906	1.1066593	-1.052740997	10.27733017	6.565044135	0.396100998	13.36898641	3.556831603	-1.025087363
