Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7
2992.30132	-0.486997166	-1.639739203	-0.49803558	-0.152419007	0.009717944	-0.452162716	0.603249735	-2.919820133	-4.022628405	0.010720221	1.568780467	-1.284410984	-2.928721049	0.165983684	-0.597104014	-1.554655626	-2.482839742	4.775065468	-2.495463109	-0.156485162	-0.13609538	0.484303029	-2.337966358	4.872178601
3892.30132	-0.673135665	-1.599760602	-0.538524838	0.175469644	-0.55151941	-0.375161476	1.034645547	-2.470987226	-3.365932612	0.094036558	0.88777401	-1.084086799	-1.92903433	-0.027561322	-0.348677333	-0.983661597	-2.005911579	3.930207579	-1.68418709	-0.405002513	-0.253273564	0.64381398	-1.822552986	3.707455044
4792.30132	-0.439045645	-1.390107906	-0.442569427	0.075740133	-0.56965516	-0.153682568	0.939008939	-2.070605871	-2.996715576	0.409487122	0.780316317	-0.762765499	-1.164320112	0.001282677	-0.064159952	-0.403714595	-1.695098261	3.257518388	-0.770148621	0.111637902	-0.12260069	0.97664852	-1.529233682	2.929603985
5692.30132	0.119087494	-1.194872912	-0.32423926	0.135790716	-0.525455789	0.028019118	1.01496895	-1.807887899	-2.597287528	0.833801868	0.778239668	-0.550465318	-0.613687903	0.093407796	0.036254954	0.163684431	-1.438323815	2.666236425	0.04300574	0.563957076	0.019355383	1.379869576	-1.250615103	2.313249344
6592.30132	0.879371764	-0.987331643	-0.198275728	0.456257577	-0.423824772	0.106049919	1.202489806	-1.615844176	-2.284649235	1.411336029	0.839812663	-0.429313269	-0.094978748	0.234115946	0.186427928	0.859586064	-1.159580087	2.239339898	0.985213397	0.902223301	0.171492985	1.995565183	-1.036920043	1.877832084
7492.30132	1.993019941	-0.781207389	-0.101449188	1.000222462	-0.302912003	0.177907565	1.457472876	-1.426537303	-2.077634192	2.31246396	0.972834944	-0.346350048	0.618837549	0.34824908	0.298879063	1.877555182	-0.902057623	1.95382825	2.363118448	1.170643801	0.299464776	3.009354701	-0.788117314	1.561911714
8392.30132	3.64602939	-0.528815776	0.02086514	1.800861882	-0.160815665	0.212260166	1.858369562	-1.287125715	-1.892821549	3.753852449	1.220851127	-0.284520752	1.664429224	0.535502816	0.4123669	3.472680342	-0.598102801	1.720042388	4.313165246	1.502582774	0.419046545	4.673980104	-0.493132306	1.281842051
9292.30132	6.106090366	-0.166242474	0.110705603	3.093353668	0.033641506	0.217750391	2.410328866	-1.127986921	-1.67519491	5.80359185	1.619124729	-0.247842974	3.247965341	0.75309375	0.538110475	5.772378554	-0.193276449	1.504392067	6.715541199	1.930638514	0.569792594	6.440415726	-0.186838414	1.123486395
10192.30132	7.386579472	0.328659419	0.322228219	5.007508055	0.289219644	0.212857136	3.285083525	-0.970527286	-1.507926083	7.526700583	2.113730044	-0.184482278	5.486878511	1.090050279	0.691961193	7.94530281	0.299781086	1.410703579	7.488485826	2.516992885	0.814084247	8.407303095	0.284379938	0.971386482
11092.30132	9.56421058	1.003162646	0.418579261	6.614597604	0.687606504	0.261568469	4.479089183	-0.763231945	-1.313657175	8.988950409	2.87959558	-0.084071996	7.093671912	1.514457891	0.82450958	8.872446752	0.935267274	1.321064628	9.94436219	3.523699121	1.081352092	11.4179104	0.988546631	0.915746318
11992.30132	12.96340679	2.138286635	0.645068043	6.980854452	1.211226779	0.32682029	6.200523798	-0.480393932	-1.1382739	10.9109009	4.057693837	0.049092167	7.563158138	2.054799513	0.994827861	11.10622914	2.025878443	1.288460315	13.19779475	5.06572148	1.407610458	13.25800858	2.089425356	0.960813572
12892.30132	16.26273892	3.864910296	0.986131687	8.479854693	1.997568587	0.460896826	7.89424171	-0.035959118	-0.824026336	14.43855611	5.961151771	0.323718475	9.852704558	2.925226419	1.294588194	14.27031054	3.722252608	1.399414631	17.32134221	7.250251306	1.920320762	16.68505595	3.880437546	1.127875927
