Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7
2961.167195	0.021530809	-3.766492235	4.653379796	3.861383232	1.340949413	-8.911311961	2.499859876	0.901158091	7.362642388	4.263381094	4.926111057	1.450373424	1.71394468	-2.517907379	-5.097133313	1.76758487	3.588326616	6.072479829	-1.529701896	-1.01595976	-4.920412479	-4.428666274	2.132669495	4.747832912
3861.167195	0.121379992	-3.687459794	4.082386218	3.518045111	1.049117378	-7.887190339	2.514018559	0.979016693	6.259474283	3.766343911	4.316519897	1.039884413	1.503505258	-1.824027293	-4.549358411	0.96625033	3.022006949	4.596658557	-0.782620739	-0.768588632	-4.088401416	-4.370559045	1.693789232	3.673595854
4761.167195	0.459894573	-3.550005601	3.760364417	3.389398037	0.847641301	-7.065818735	2.640800631	1.163885182	5.658379008	3.663988716	3.984863665	1.022633301	1.560819895	-1.323843409	-3.995492731	0.722505774	2.777982984	3.938576645	-0.125560196	-0.630806803	-3.487807818	-3.945723001	1.522402704	2.938259804
5661.167195	0.767719008	-3.335734355	3.531169666	3.328371284	0.701929995	-6.45824258	2.86470789	1.228490097	5.250192891	3.688034741	3.753319027	0.970352647	1.773432458	-0.957001526	-3.621588541	0.673150302	2.549731578	3.485662497	0.43144444	-0.563618401	-3.036772237	-3.546303535	1.312698529	2.324333354
6561.167195	1.154636862	-3.143308085	3.317448845	3.422781634	0.597686793	-5.970906961	3.085705182	1.276702923	4.929163409	3.872663534	3.572946416	0.919658603	2.168754327	-0.666338657	-3.346984685	0.746433611	2.388253865	3.080042761	1.007164872	-0.477269991	-2.709502332	-3.103339791	1.153269005	1.849087814
7461.167195	1.721525759	-2.902857348	3.206266056	3.701298799	0.532340289	-5.582070391	3.26480394	1.316417639	4.651278269	4.262448594	3.419747555	0.847417898	2.921470253	-0.351086366	-3.129592655	0.994298427	2.231785315	2.778418164	1.724198674	-0.434303718	-2.461715374	-2.470389818	1.055362915	1.493558952
8361.167195	2.61357442	-2.63115833	3.13390694	4.295534933	0.503252344	-5.295453582	3.550627877	1.35356697	4.417693936	5.07906459	3.399337966	0.809723843	4.281254931	-0.027588093	-2.896099122	1.548043764	2.222906772	2.49374946	2.678811076	-0.302792468	-2.19290478	-1.528050211	1.048497896	1.280052577
9261.167195	4.024871002	-2.318501113	3.136591544	5.26022782	0.527407035	-5.01376912	4.03834392	1.472551497	4.306789207	6.579032007	3.425246748	0.748841005	6.603053465	0.352048825	-2.651977634	2.508684192	2.204128581	2.331093816	4.043047967	-0.132379787	-1.949882169	-0.072275595	1.065901434	1.093439984
10161.1672	6.281580045	-1.885149304	3.138620142	6.990635924	0.728519668	-4.715934	4.677138077	1.625020545	4.26594295	9.047178602	3.598672023	0.780811369	9.647927445	0.967019793	-2.319629032	3.799469124	2.353505714	2.159957088	6.152021487	0.132309497	-1.67563759	2.227046065	1.305014994	0.94958373
11061.1672	9.751846742	-1.298874709	3.211095413	9.661435888	1.030196799	-4.479472055	5.473095508	1.765719237	4.263611445	11.16224544	3.967436877	0.799179635	10.12842016	1.660986045	-2.010125728	5.464569196	2.599856307	2.044294462	9.131047901	0.483444646	-1.374347436	5.70997349	1.660426481	0.817170152
11961.1672	12.40687968	-0.487352795	3.32484054	11.14436373	1.450572199	-4.201239538	5.816450628	1.991526412	4.229939359	11.15798854	4.433579864	0.851167853	12.24112483	2.743638902	-1.637156728	6.78118827	3.029222925	1.944475925	10.68817549	0.990557775	-1.121021291	7.254208032	2.108931966	0.740517416
12861.1672	14.60076962	0.586000405	3.432986354	11.66959296	2.03359244	-3.892025384	6.060580228	2.234625008	4.190407235	12.68214833	5.268741689	0.888559808	15.51340009	4.512200678	-1.272009827	7.217162211	3.648504245	1.935793652	12.88865586	1.775577488	-0.811671587	9.579452386	2.915987206	0.707626305
13761.1672	17.8599823	2.175607077	3.575551475	13.23552982	2.949206304	-3.587401494	6.475234983	2.593884239	4.323414243	15.93014316	6.737730538	1.085588387	19.23816538	7.341492178	-0.677615142	8.878562642	4.723417751	1.986111382	16.42333096	3.040465156	-0.472207829	13.96597691	4.260509165	0.799843062
14661.1672	21.76668375	4.568886961	3.906884007	15.50617718	4.471150463	-3.166036658	7.237499066	3.106481165	4.571783636	20.1535416	8.321053104	1.306228448	23.99472777	10.71290993	0.14523683	11.25758905	5.895920764	2.092364693	20.94856431	4.699235348	0.067073993	19.92281032	6.457976174	0.989549996
15561.1672	25.9025891	7.06084921	4.365057997	18.42262957	6.475807228	-2.661649403	8.335679147	3.644255985	4.86240979	25.00390227	9.888962983	1.713362703	29.3846406	12.5431526	1.282904126	14.36392785	7.659318545	2.371964697	25.87935651	6.594600458	0.625924282	25.69866787	9.683171257	1.333194109
16461.1672	31.39224861	9.039592782	5.049655944	22.63712402	8.266834573	-1.974289936	9.403590254	4.292366248	5.325134078	30.96240301	11.09814062	2.207531311	35.08961474	15.12432874	2.923658404	18.06216473	9.686320028	2.745686187	31.70007627	8.718363418	1.338441625	33.39679491	10.9457881	1.886869665
