"","Time","rep","exp","variable","value","strain","inoc","drytime"
"1",0.854140800833333,2.1,"t0","B2",0.01146589561,"11279",5,0
"2",1.10414080083333,2.1,"t0","B2",0.01093405283,"11279",5,0
"3",1.35414080083333,2.1,"t0","B2",0.01053522847,"11279",5,0
"4",1.60414080083333,2.1,"t0","B2",0.01023649299,"11279",5,0
"5",1.85414080083333,2.1,"t0","B2",0.01012232527,"11279",5,0
"6",2.10414080083333,2.1,"t0","B2",0.01030311156,"11279",5,0
"7",2.35414080083333,2.1,"t0","B2",0.01084181881,"11279",5,0
"8",2.60414080083333,2.1,"t0","B2",0.0119896443,"11279",5,0
"9",2.8541408,2.1,"t0","B2",0.01405516818,"11279",5,0
"10",3.1041408,2.1,"t0","B2",0.01594283799,"11279",5,0
"11",3.3541408,2.1,"t0","B2",0.01650845554,"11279",5,0
"12",3.6041408,2.1,"t0","B2",0.01881617362,"11279",5,0
"13",3.8541408,2.1,"t0","B2",0.02171751392,"11279",5,0
"14",4.1041408,2.1,"t0","B2",0.0251260869,"11279",5,0
"15",4.3541408,2.1,"t0","B2",0.0292127319,"11279",5,0
"16",4.6041408,2.1,"t0","B2",0.03366776131,"11279",5,0
"17",4.8541408,2.1,"t0","B2",0.03837317456,"11279",5,0
"18",5.1041408,2.1,"t0","B2",0.04293682643,"11279",5,0
"19",5.3541408,2.1,"t0","B2",0.04706651911,"11279",5,0
"20",5.6041408,2.1,"t0","B2",0.05051360986,"11279",5,0
"21",5.8541408,2.1,"t0","B2",0.05317244556,"11279",5,0
"22",6.1041408,2.1,"t0","B2",0.05500076324,"11279",5,0
"23",6.3541408,2.1,"t0","B2",0.05601575496,"11279",5,0
"24",6.6041408,2.1,"t0","B2",0.05533345565,"11279",5,0
"25",6.8541408,2.1,"t0","B2",0.05342777288,"11279",5,0
"26",7.1041408,2.1,"t0","B2",0.05077633001,"11279",5,0
"27",7.3541408,2.1,"t0","B2",0.04943821167,"11279",5,0
"28",7.6041408,2.1,"t0","B2",0.04801300947,"11279",5,0
"29",7.8541408,2.1,"t0","B2",0.04668530401,"11279",5,0
"30",8.1041408,2.1,"t0","B2",0.04517854818,"11279",5,0
"31",8.3541408,2.1,"t0","B2",0.0438311795,"11279",5,0
"32",8.6041408,2.1,"t0","B2",0.04240529677,"11279",5,0
"33",8.8541408,2.1,"t0","B2",0.04026539239,"11279",5,0
"34",9.1041408,2.1,"t0","B2",0.03864184772,"11279",5,0
"35",9.3541408,2.1,"t0","B2",0.03690307696,"11279",5,0
"36",9.6041408,2.1,"t0","B2",0.03488388476,"11279",5,0
"37",9.8541408,2.1,"t0","B2",0.03277657916,"11279",5,0
"38",10.1041408,2.1,"t0","B2",0.03079028221,"11279",5,0
"39",10.3541408,2.1,"t0","B2",0.02863140986,"11279",5,0
"40",10.6041408,2.1,"t0","B2",0.02681681582,"11279",5,0
"41",10.8541408,2.1,"t0","B2",0.02487112104,"11279",5,0
"42",11.1041408,2.1,"t0","B2",0.02359093143,"11279",5,0
"43",11.3541408,2.1,"t0","B2",0.02229402761,"11279",5,0
"44",11.6041408,2.1,"t0","B2",0.02103290228,"11279",5,0
