Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7
2951.875498	12.30468195	9.055952815	-1.261461255	-6.08263468	-0.229612252	0.730192257	-29.84290413	15.76323856	-0.977513559	7.489075524	1.754006852	-16.54721938	1.111652929	6.492093093	3.416551494	-0.778826376	6.225947196	-4.03942774	0.321000194	-10.12910401	4.832989687	-1.771190541	8.207161365	12.24037591
3851.875498	10.22671308	7.900361647	-1.287983559	-5.342425604	-0.261235441	1.153114538	-26.01210617	13.57288312	-0.741996745	6.314304311	1.180545996	-13.37804308	0.91776845	5.558666963	2.538910644	-0.934855285	4.747155658	-3.402549817	0.24757601	-10.08483573	3.831159914	-1.727011921	7.011502828	10.63916832
4751.875498	9.100107623	7.277719723	-1.082970414	-4.631713145	-0.15715485	1.168220724	-22.88460394	12.15525654	-0.416595187	5.494713767	1.094030126	-11.37116781	1.053165116	4.89054958	2.222279353	-0.665175128	4.022103865	-2.699594914	0.453848292	-9.879215759	3.347389243	-1.473635189	6.317800552	9.644067113
5651.875498	8.382619554	6.961596337	-0.940657514	-4.044669826	-0.021938667	0.997882717	-20.30319361	11.29294771	-0.218706791	5.01129936	1.051939871	-10.16070197	1.212869688	4.323070807	2.021377475	-0.274517194	3.819881262	-2.134671006	0.698215919	-9.748962998	3.016139121	-1.105927583	6.187365055	8.922832343
6551.875498	8.153815813	6.797717491	-0.798161433	-3.267975615	0.062606996	0.86126466	-18.03526448	10.69154232	-0.10924886	4.797963951	1.087317195	-9.319880023	1.51649088	3.910651291	1.888804545	0.30623568	3.595463217	-1.763944105	1.036293004	-9.641368342	2.771374118	-0.64522729	6.090133058	8.268517772
7451.875498	8.332718848	6.673289997	-0.693751683	-2.258138415	0.206567064	0.784385135	-15.88471641	10.21358791	0.027323126	4.918956043	1.146453008	-8.643104443	1.998226082	3.651047244	1.825809711	1.182561999	3.539790814	-1.490650043	1.456904878	-9.544986408	2.616576606	0.009522871	5.999369907	7.650747056
8351.875498	9.131837152	6.612703701	-0.546962835	-0.847623651	0.392668201	0.763465048	-13.73015436	9.823432331	0.161262749	5.508689665	1.309878398	-8.055892528	2.79840189	3.526874714	1.858314781	2.449727569	3.851250012	-1.296086247	2.113199934	-9.383329803	2.55687976	0.989246923	6.159041784	7.132700105
9251.875498	10.84442521	6.639087168	-0.386032452	1.355406566	0.717333344	0.780094401	-11.45039384	9.576919284	0.336413675	6.70310059	1.533815045	-7.526447778	3.980809671	3.494900308	1.912383539	3.798848985	4.123878478	-1.10411967	3.076684583	-9.09787867	2.531680693	2.296496817	6.313093332	6.705057408
10151.8755	13.32265244	6.865495179	-0.134815024	4.214353185	1.16793848	0.856508784	-8.844250642	9.491049521	0.553899979	8.872748248	1.93553028	-7.064167877	5.373683829	3.619588532	1.989556292	5.641750404	4.683600939	-0.89436321	4.377549195	-8.783050123	2.544359514	4.08467082	6.63270907	6.335579759
11051.8755	13.41162216	7.207562294	0.159669819	6.84993135	1.829616291	0.977157217	-5.55702657	9.548007499	0.831036326	11.52124063	2.495713238	-6.66388194	7.420544965	3.948415656	2.188658204	7.789998064	5.299391102	-0.654721867	6.083021825	-8.336753836	2.668591657	6.234749893	7.006475721	6.060979247
11951.8755	16.26915881	7.980036069	0.460483094	8.014228824	2.744723518	1.131305075	-2.449336347	9.835236392	1.110824023	14.14274786	3.33045657	-6.210887925	8.783453531	4.452828273	2.316107742	8.777408376	6.223354473	-0.360091508	8.043903702	-7.818821169	2.748392666	7.516901219	7.517389283	5.875669774
12851.8755	19.33894283	9.282052094	0.841911324	10.36935978	4.263491323	1.379487938	-0.522109053	10.331845	1.461362097	16.74523725	4.551134741	-5.718972002	10.12217135	5.296621005	2.534740334	10.71963227	7.431689837	-0.017735032	8.832720692	-7.134008716	2.865539392	9.139724759	8.270446833	5.65077282
13751.8755	22.33493985	11.4758067	1.404709679	13.54258333	6.341405733	1.733207668	1.706143413	11.2909523	1.806223945	19.05698322	6.040899762	-5.156866146	12.27092563	6.697406841	2.869171794	13.59947637	8.940131585	0.444964518	9.66292065	-6.270722412	3.016250925	11.05819287	9.320573939	5.617225305
14651.8755	24.84877821	13.81018266	2.184171473	17.47035579	8.41996225	2.266850145	5.177249535	13.03387877	2.256446636	22.21014336	7.599835485	-4.523868207	15.61956059	8.892450202	3.418612548	17.32328186	10.46778644	1.076704109	12.23382266	-5.040342117	3.331505667	14.12153904	10.68878616	5.660301249
15551.8755	28.61551605	16.33958377	3.18806041	21.94579181	10.54487015	3.030566396	8.803367346	15.6912212	2.894283749	25.84388634	8.734886612	-3.789066487	19.01506833	11.16949668	4.068037209	21.83353089	11.84274025	1.994017475	15.40320873	-3.143520265	3.788909743	18.39522656	12.70278942	5.842979924
16451.8755	33.14813509	18.79808627	4.718686875	27.44765051	11.61852414	4.222047835	12.59730789	15.939032	3.620094067	29.9823737	10.54923242	-2.818666989	22.97832896	12.88222623	4.89974844	26.74514609	13.40720429	3.406839106	19.0878515	-0.520218823	4.347424637	23.13726883	14.84163731	6.215659457
17351.8755	36.75630055	21.60148252	6.468129592	33.24427612	14.59546093	5.630663542	16.98310426	17.24608978	4.470295175	33.77948546	12.71837781	-1.610401849	27.53198688	15.51198087	6.066058905	31.0891325	15.19919717	5.723427776	23.01902592	2.332369436	5.07469308	28.35782169	15.52885223	6.788411529
18251.8755	41.58935426	25.43485205	8.445665242	38.23972492	18.25779495	7.359277293	21.9501191	20.15351868	5.680535004	37.00033791	14.97952756	-0.209045446	32.17029487	19.09411989	7.679009839	35.03935875	17.72896151	8.244964139	26.99692557	4.310549945	5.977022118	33.93222127	17.82903836	7.832128281
