Time	B2	B3	B4	B5	B6	C2	C3	C4	C5	C6	D2	D3	D4	D5	D6	E2	E3	E4	E5	E6
2700	-0.40251886	0.308269675	-2.051157659	5.982029468	-1.892770802	2.215009102	-0.857053975	-1.328073253	3.614614828	1.837374646	-0.147717424	5.106662197	3.294232349	12.40949025	-9.042087921	7.484922082	0.216066387	-1.013473384	10.5226165	-9.125140229
3600	-0.542117021	-1.736137872	-3.647870232	2.92608053	-2.284074197	1.08339492	-2.995362581	-3.822672838	1.018945375	-0.432270456	-0.614387928	1.542398048	-0.387844801	6.703575179	-10.11674144	6.085657226	-1.165329942	-2.468614717	7.298875963	-8.893485787
4500	0.87721231	-1.497313489	-3.217785888	2.611767957	-1.717649506	2.157656925	-2.460662482	-3.451573995	1.39353932	-0.299995833	1.311846183	1.200001865	-0.368662374	5.861679996	-8.809822168	7.113760077	-0.639012824	-2.071556939	6.592389228	-7.441553351
5400	2.103744545	-1.219717017	-2.930062106	2.351411507	-1.419908429	3.342137617	-2.098664207	-3.304676926	1.572360967	-0.28495654	3.029021941	1.189147529	-0.38003968	5.254847362	-7.877671817	8.450631023	-0.134417112	-1.873819177	5.925681723	-6.442299038
6300	3.178707076	-0.981702166	-2.705398459	2.097731338	-1.254528662	4.879650342	-1.596790281	-3.082243939	1.647812401	-0.321959677	4.273194206	1.41433796	-0.363646779	4.735378055	-7.228552114	9.288656502	0.455461692	-1.781343088	5.418256449	-5.678612957
7200	4.287423124	-0.630577867	-2.528552643	1.956042689	-1.119215096	6.603993969	-1.149879755	-2.879126138	1.633705623	-0.305470361	5.347287002	1.925579655	-0.209602601	4.347968463	-6.67263877	9.710537085	1.149798087	-1.661334395	4.985475775	-5.070268194
8100	5.432044627	-0.225545278	-2.353556174	1.785223655	-1.034912818	7.851415462	-0.593617288	-2.752839192	1.614141037	-0.38213161	6.626463846	2.803469436	-0.12954352	4.022832585	-6.287564202	10.8545069	2.203407704	-1.595788861	4.574037109	-4.614641318
9000	6.644723851	0.378428012	-2.177018444	1.696588944	-0.958181471	8.848699243	0.084248063	-2.604299672	1.629643749	-0.370830551	8.173387977	4.17437441	-0.008773524	3.767328017	-5.918814805	12.93116298	3.666587046	-1.431816234	4.278045115	-4.207887373
9900	7.992876209	1.110517344	-2.052695466	1.600478587	-0.909602104	9.920223921	1.224663618	-2.458507169	1.626517049	-0.375489065	9.93480617	5.648375953	0.207475101	3.559200113	-5.613261242	15.80285772	5.241298127	-1.26980588	3.993917152	-3.879052047
10800	9.549333414	2.025562622	-1.810335621	1.565671667	-0.819224031	11.6636925	2.42224297	-2.238778215	1.617465122	-0.357893852	12.04265811	6.709879242	0.525902193	3.393821039	-5.294682479	19.47788358	6.711391177	-1.073814617	3.766456726	-3.582847537
