Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7
2920.479323	-6.751882142	-3.36682975	1.990102269	-9.36127885	-13.09453621	2.860443942	1.297158478	-1.663461452	-8.923597846	-1.444368199	-5.959886441	2.520219715	-2.150931687	-17.08069012	-0.745673294	-3.307545724	-0.778484186	-5.483384898	-3.254962148	-7.330567797	-3.56684851	5.744110943	-2.80230416	-4.638896459
3820.479323	-6.19755527	-2.964669922	0.798339992	-8.553506995	-11.76423312	1.952126843	0.476697629	-2.048301983	-8.475145222	-1.854935671	-5.509437612	1.788973994	-1.98038059	-15.3817407	-1.50841569	-3.110722879	-1.472606495	-5.254458534	-2.746237344	-6.414601157	-3.988226049	4.944243551	-2.753818798	-4.69370955
4720.479323	-5.479861239	-2.351525039	0.388409016	-7.528187654	-10.3508659	1.671275062	0.432956386	-1.694166275	-7.554227931	-1.557958909	-4.603707358	1.589435918	-1.413838334	-13.71010103	-1.333561644	-2.345375755	-1.312296707	-4.571916382	-2.008098323	-5.300840795	-3.739760644	4.728052875	-2.240657569	-4.385362693
5620.479323	-4.888477459	-1.878999961	0.200230787	-6.667959036	-9.247164795	1.446588938	0.576050667	-1.404085098	-6.821993352	-1.219494615	-3.89910703	1.426280649	-0.896498847	-12.49073441	-1.166933056	-1.758258746	-1.11061203	-4.143482068	-1.373231208	-4.413427713	-3.489533079	4.548017885	-1.857823341	-4.164224121
6520.479323	-4.339913515	-1.48608986	0.090847106	-5.77145243	-8.337004123	1.245182645	0.852510491	-1.183559792	-6.231050483	-0.783125352	-3.30964687	1.282992209	-0.364547929	-11.53991621	-0.995458119	-1.24318239	-0.917724051	-3.797811774	-0.75763899	-3.734772364	-3.269552297	4.441518973	-1.539261801	-3.982554997
7420.479323	-3.740039703	-1.20863331	0.056083037	-4.812934508	-7.551093867	1.176266108	1.372619888	-0.919703246	-5.73715993	-0.105619319	-2.821056683	1.204477317	0.294158101	-10.67120642	-0.859541851	-0.612835255	-0.722271741	-3.553982189	-0.111183268	-3.119942282	-3.017353458	4.437079428	-1.280529438	-3.82288626
8320.479323	-3.088365296	-0.916484077	0.055971452	-3.683113713	-6.912979529	1.160570231	2.207251314	-0.653938541	-5.255979114	0.866768103	-2.325079177	1.131499643	1.185051508	-9.855734987	-0.686961909	0.18072277	-0.517405763	-3.300742916	0.747987731	-2.553314373	-2.815960097	4.615740476	-1.000841908	-3.684934036
9220.479323	-2.213631161	-0.612933789	0.16171212	-2.098426149	-6.248246989	1.169776754	3.581681017	-0.323599332	-4.780788749	2.398027193	-1.802424299	1.137106211	2.467118695	-9.066600701	-0.49631277	1.442694024	-0.228133961	-3.10668258	1.910931606	-2.001305033	-2.553370981	5.038756959	-0.751438456	-3.49074767
10120.47932	-1.020844012	-0.288480733	0.268475968	0.135928067	-5.643385422	1.198249822	5.769592858	0.11380109	-4.300981416	4.886810582	-1.221880367	1.124898879	4.442266496	-8.217171307	-0.23074334	3.341253761	0.173553183	-2.868999643	3.63570062	-1.380972	-2.27562228	5.764476141	-0.475777198	-3.336158054
11020.47932	0.628670176	0.088800064	0.470909168	2.583317878	-5.009768599	1.28743701	7.03167386	0.645569526	-3.786555656	7.830111356	-0.499493304	1.166836787	6.878020487	-7.278893976	0.076963538	6.378362657	0.787905402	-2.668937266	6.194127728	-0.675314386	-1.993740335	7.032550533	-0.117730381	-3.150420828
11920.47932	2.804940281	0.546162017	0.628448406	3.543472672	-4.362171198	1.370611696	7.333947109	1.281872209	-3.28455697	10.48816265	0.380367357	1.276818394	7.318498403	-6.250783161	0.492872032	10.31635181	1.631432699	-2.463889204	7.683176336	0.16993627	-1.607929585	9.094896997	0.342082314	-2.961701378
12820.47932	4.119427145	1.128199779	0.804507232	5.548126701	-3.630209245	1.480751814	8.190584178	2.227719079	-2.810417937	12.22452836	1.527734751	1.413198984	8.597249051	-4.911308239	0.811628973	12.59568401	2.746222736	-2.174982768	8.853909211	1.287624224	-1.240607351	11.19519659	0.896313527	-2.755509251
13720.47932	4.522927352	1.919538574	1.05718374	7.697071413	-2.741078886	1.655574097	9.413726088	3.720467798	-2.265286202	15.49086513	3.261928149	1.652916252	11.17553274	-2.988373334	1.306300464	16.39377996	4.47118661	-1.816122589	11.28978083	2.963731823	-0.792813985	13.45276767	1.598450111	-2.563198876
14620.47932	6.309749602	3.195957039	1.373739807	9.895932673	-1.524839897	1.896626221	11.09267335	5.850987709	-1.516322488	20.37722661	5.943154228	2.033438396	14.77760962	-0.205613858	2.006271937	21.7470174	7.25639564	-1.329423946	14.66540673	5.064466773	-0.268056435	14.28041702	2.63335379	-2.29228494
15520.47932	9.304414298	5.131946246	1.793256848	12.66786079	0.197676027	2.257661237	12.9954331	7.625778159	-0.643744232	26.48344999	9.610934446	2.690655978	18.94343525	2.153406441	2.953709371	28.58131066	11.59568932	-0.615621946	19.0617825	7.254262099	0.415368752	15.86883447	4.121912075	-1.962147777
16420.47932	12.50606784	7.387653693	2.355770861	16.82878801	2.58008725	2.792277432	14.93045808	8.440916112	0.368797728	33.84521777	11.76669071	3.52814692	23.3871179	3.60147006	4.013364311	35.45293843	14.43504793	0.306251698	24.49598502	8.353561908	1.324162633	17.84199327	5.752473397	-1.608573222
17320.47932	16.70766679	9.459606299	3.206887094	23.20666383	4.746245777	3.580658387	16.95632552	9.213844404	1.681046462	44.02464777	14.08035714	4.781965131	28.86676286	5.533481851	5.416314529	42.96624146	17.47969652	1.677941807	30.97056512	10.65433325	2.616245963	20.24436319	7.443154695	-1.116986288
18220.47932	21.07555279	10.83560514	4.165354989	27.84122496	5.61587122	4.717062858	18.76114427	10.71670612	3.344522641	52.28177246	17.99061343	6.862508626	34.71775873	9.633195127	7.512226851	51.16037224	22.74416753	3.800735276	37.99452913	13.83634319	4.607363565	23.11133083	8.416526856	-0.506920887
19120.47932	25.63714455	13.20642074	5.529973853	32.79462516	7.69904185	6.531755834	20.74703439	13.10984283	5.471813889	59.85201751	23.12903973	10.16236532	40.92953556	14.32163051	10.07378724	57.38322133	28.92457193	6.696525069	44.99333491	18.3844289	7.481218099	26.41383173	9.78484567	0.329512447
