Time	B2	B3	B4	B5	B6	C2	C3	C4	C5	C6	D2	D3	D4	D5	D6	E2	E3	E4	E5	E6
2700	4.617258733	-1.43806228	0.861122056	1.245643622	-1.453894326	4.629940646	2.333918587	-8.024949199	2.630445504	1.110426563	-0.458319322	3.197962457	3.715333984	1.92410177	5.65990831	-0.612351849	1.231255175	0.863700996	-0.002028386	4.247111778
3600	2.285747814	-3.235744071	-1.603288071	-0.963845648	-3.175924101	1.955174211	-0.902080867	-9.414899588	-0.785005722	-1.816032258	-0.711487583	0.173854262	0.091692215	-1.398767905	1.852460605	0.401055271	-0.875316649	-1.213586791	-2.201809875	1.255407582
4500	3.205004836	-2.207643875	-1.204403067	-0.754125095	-2.689730337	1.92597819	-0.370702305	-8.056641397	-0.293826814	-1.547482417	0.724185097	0.711611771	0.032826051	-1.246790106	1.443333941	3.919146489	-0.370358464	-0.913720801	-1.757938502	0.975696848
5400	4.300875769	-1.36651212	-0.914041931	-0.587616425	-2.313580696	2.232504042	0.109054477	-7.064757112	-0.020688735	-1.378505856	2.434977538	1.461236373	0.037676164	-1.160548779	1.093375487	6.037842826	0.336917709	-0.711251777	-1.414463957	0.780945124
6300	4.79436136	-0.632282557	-0.712456632	-0.507072579	-2.084212327	2.779224141	0.554440491	-6.377821983	0.112841222	-1.303895505	4.379625672	2.66424113	0.156557278	-1.096737705	0.823677812	7.130192081	1.324034808	-0.454078309	-1.207359369	0.566561233
7200	5.433165883	0.233051081	-0.552959783	-0.514179813	-1.885329214	3.565088289	1.091803889	-5.791170283	0.198665654	-1.260155823	6.381942093	4.090231016	0.333600567	-0.946760791	0.621783689	8.238244683	2.643528856	-0.16780355	-0.896238967	0.392735143
8100	6.41304837	1.138479687	-0.357772982	-0.498680128	-1.747108517	4.789592955	1.816148123	-5.311103436	0.256314195	-1.198697153	8.220966396	5.953252773	0.67151275	-1.022068852	0.462198358	10.3143692	4.20850731	0.111311585	-0.870003083	0.218538315
9000	7.619976213	2.179119026	-0.172578529	-0.432329229	-1.639005373	6.519792879	2.702879153	-4.832607474	0.295921201	-1.161237727	10.10296021	8.218617619	1.257574192	-0.937128059	0.336088595	13.06319305	5.691449498	0.639702725	-0.785723858	0.099314506
9900	9.171739694	3.291545643	0.139914988	-0.3782194	-1.543017248	8.000188544	3.682111222	-4.364330209	0.319683989	-1.152884291	12.35137376	9.298758363	2.127775054	-0.843016319	0.253170544	16.58747642	7.359008462	1.343989634	-0.610885779	-0.004248855
10800	11.10835725	4.669117428	0.490855568	-0.364550379	-1.443575001	8.968751042	4.802857396	-3.930883355	0.373277365	-1.114276281	15.0838126	10.83083128	3.307831174	-0.661239854	0.210375761	21.58934435	8.925038985	2.48686356	-0.426688316	-0.048810409
11700	13.62216397	6.298477706	1.004206959	-0.297644133	-1.373639634	10.50417834	6.228686397	-3.445333055	0.409138805	-1.082597995	18.2871468	13.18812941	4.627713902	-0.402272135	0.184095108	28.5604489	10.57261835	3.85261314	-0.161255751	-0.091449934
12600	16.84119489	7.627072882	1.723483708	-0.222335066	-1.276286535	12.48774451	8.039761804	-2.889447941	0.462432491	-1.050435116	22.2749895	16.06892441	6.428913068	-0.022957504	0.191748022	35.7939309	13.11055717	4.772418317	0.171434258	-0.10948837
13500	20.73456229	9.028217148	2.773179043	-0.064814942	-1.188140285	15.02351385	10.01536871	-2.241098201	0.535628267	-1.005408465	26.77337257	19.77967897	8.918767007	0.550021832	0.220880701	41.14465383	16.50848631	5.93653121	0.68779125	-0.064273316
14400	24.74046631	10.72170283	4.322838801	0.195260005	-1.076800036	18.22877582	12.00474356	-1.482154845	0.650030251	-0.935571135	31.36171717	24.17858144	10.76922669	1.281315429	0.300144041	44.07388623	20.81830928	7.610237074	1.498122175	-0.008175372
15300	29.23134267	13.0347231	6.544349994	0.436815501	-0.974865421	22.52993181	14.25218688	-0.641479244	0.767959481	-0.85757061	36.24879941	28.95198758	12.32621257	2.05178294	0.428639147	47.00206654	26.55654096	9.555764281	2.626975014	0.142966314
16200	33.48517823	16.06652112	7.939100822	0.808427444	-0.888910202	26.85879361	16.65814338	0.231701402	0.897568279	-0.838415237	40.81785567	32.99744533	14.95713818	2.678045185	0.578792433	49.17363818	32.14335719	12.17773618	4.04520285	0.362269447
17100	37.99082015	20.15254398	8.411182717	1.30014113	-0.722374361	31.53250562	19.47352266	1.128616396	1.040457408	-0.754639802	44.44923149	37.51372794	18.30888375	3.52695338	0.847761335	51.50581727	37.79337731	15.37938984	5.228752789	0.766887157
18000	41.79999077	24.11640492	9.6333968	2.109513533	-0.531690738	36.32443566	22.68791688	2.109890798	1.257648873	-0.682830918	47.06514109	41.33942766	21.915212	4.845545839	1.249193143	52.97135324	43.43640633	19.9819627	6.472915123	1.352980475
18900	44.61860654	28.49788547	11.86068301	3.227905757	-0.248805113	40.70025941	26.14891078	3.381534782	1.486656683	-0.611344123	48.36807037	44.23393105	25.6824141	6.288143238	1.897703132	53.20154089	46.92994149	25.22636153	7.988181638	2.182071602
19800	46.40270815	32.50146663	14.57358333	4.772020866	0.121385276	44.38515778	29.76391313	4.988324167	1.818324364	-0.508231692	49.09910172	46.45268973	29.09771364	7.935375334	2.818335342	52.46409893	48.13385215	30.02748186	9.886265698	3.402607407
20700	47.14210601	36.67515129	17.68039804	6.144151857	0.587103948	47.31284803	33.33002465	6.87428687	2.187516811	-0.385224408	49.98439955	48.773823	32.99482227	9.910307145	3.859694938	51.81572815	49.95756773	34.74493769	12.35730009	4.595671719
21600	47.26250443	39.86501953	21.25735825	7.296371946	1.232656179	48.92789259	36.66996084	8.724701971	2.689933442	-0.263509973	49.92943605	49.01792941	36.59389989	12.29192975	4.886530976	50.31233846	50.77416317	38.47438368	15.40827973	5.739347477
22500	47.98527552	42.49939252	25.18537568	8.625252639	2.017801315	50.0050864	39.65573356	10.61230063	3.274382564	-0.149019548	49.5316059	46.9650085	40.44059054	16.21411756	5.909417554	49.66589468	51.39924642	42.60116734	18.93790749	6.964695407
23400	47.22276335	44.86941794	29.39029977	10.33290639	2.921544951	49.74056175	42.11118885	12.90753716	3.884983086	0.026634732	49.09257872	45.60760207	43.98714516	20.46436505	7.185998329	49.3572793	50.53091926	45.28182125	22.98917234	8.536942338
24300	45.95063289	46.70276347	34.2773894	12.50787736	4.023721051	48.92711969	44.09507264	15.18529931	4.452853311	0.22465226	48.62197761	44.76651207	46.86244215	24.8685301	8.726342404	48.48115708	49.51565601	48.07865942	27.70687717	10.74171986
25200	44.90838244	48.02206284	38.49575722	15.31659247	5.16168277	47.42225174	45.3866559	17.86353799	5.157962734	0.421151323	47.69128307	43.67212982	47.64743282	30.21143978	10.61022341	47.07146062	49.1142575	50.21830736	32.59722613	13.51138619
26100	43.41408371	47.83764533	42.46077145	18.44461905	6.419649645	46.34563909	45.88982929	20.79398497	6.002424504	0.666169336	47.50659537	42.55415648	47.56392784	35.23665967	12.78011059	45.36477423	48.35063607	51.47066581	37.38570721	16.62486181
27000	42.1738471	48.21714245	45.15103839	21.48367799	7.931405235	45.3278859	45.69252609	23.55204729	6.970156852	0.984322479	46.83668336	41.70684919	47.48043348	39.87037543	15.37674496	43.78981863	47.1158095	52.66800444	42.35145357	20.1543188
27900	41.20774354	47.16401087	46.33738509	24.76173754	9.654004935	43.92239455	44.98595616	27.28382552	8.008072163	1.359808609	46.4075139	40.47879048	47.23571253	43.61413975	18.14313612	39.79451063	46.81495001	52.43754831	47.08745936	24.31095674
28800	40.40964658	46.30551373	46.91931357	28.4918569	11.66487393	42.72776672	44.06515356	31.54375016	9.106525285	1.741481325	45.19352854	39.01882947	46.69882233	47.55499948	21.05628001	36.75429182	46.54283895	51.65625769	51.15118692	28.68315612
29700	39.59386335	44.99843533	47.43100089	32.61957179	13.88818936	40.71176086	43.09224755	35.46547636	10.20801413	2.135029249	44.13880368	38.25903407	46.11588723	49.54063944	24.0287312	34.20376063	45.66281395	50.95198235	54.42881222	33.06828547
30600	38.53590793	43.41196078	47.99772531	36.75349262	16.20444509	39.11834225	42.19824671	39.79937367	11.45132439	2.573400301	42.51034501	37.30422605	45.27647693	52.66099333	27.15578784	30.89403117	44.87295346	49.43737026	54.76631214	38.00052631
31500	37.21464447	41.04079051	47.41360586	40.87687115	18.70428845	37.52493359	40.92281151	43.18234004	12.63859359	2.958458776	40.78244634	36.31727122	44.56144127	52.94420332	29.97379685	28.15159958	42.95340871	49.44822851	54.20236881	42.1348716
