original_id,strain,success,country,lineage,infection,year,institute,mec,pvl,spa,mlva-mc,mlva-mt,mlst-cc,mlst-st
MAC099,11193,Unsuccessful,France,CC8,Infection,2016,Inserm,mecA,Positive,,,,CC8,
MAC100,11194,Unsuccessful,France,CC8,Infection,2016,Inserm,mecA,Positive,,,,CC8,
MAC107,11205,Unsuccessful,France,CC22,Infection,2015,Inserm,mecA,Negative,,,,CC22,
MAC111,11210,Unsuccessful,France,CC5,Infection,2016,Inserm,mecA,Negative,,,,CC5,
MAC227,11214,Unsuccessful,France,CC5,Carriage,2015,Inserm,mecA,Negative,,,,CC5,
MAC225,11223,Unsuccessful,France,CC5,Infection,2016,Inserm,mecA,Negative,,,,CC5,
MAC121,11227,Unsuccessful,France,CC8,Infection,2017,Inserm,mecA,Negative,,,,CC8,
MAC217,11230,Unsuccessful,France,CC8,Infection,2015,Inserm,mecA,Negative,,,,CC8,
MAC105,11237,Successful,France,CC1,Infection,2016,Inserm,mecA,Negative,,,,CC1,
MAC109,11239,Successful,France,CC22,Infection,2017,Inserm,mecA,Negative,,,,CC22,
MAC259,11243,Successful,France,CC5,Infection,2017,Inserm,mecA,Negative,,,,CC5,
MAC116,11245,Successful,France,CC5,Infection,2015,Inserm,mecA,Negative,,,,CC5,
MAC238,11250,Successful,France,CC5,Carriage,2015,Inserm,mecA,Negative,,,,CC5,
MAC267,11253,Successful,France,CC5,Infection,2016,Inserm,mecA,Negative,,,,CC5,
MAC223,11257,Successful,France,CC5,Infection,2015,Inserm,mecA,Negative,,,,CC5,
MAC124,11259,Successful,France,CC8,Infection,2017,Inserm,mecA,Negative,,,,CC8,
MAC127,11263,Successful,France,CC8,Infection,2017,Inserm,mecA,Negative,,,,CC8,
MAC220,11265,Successful,France,CC8,Infection,2017,Inserm,mecA,Negative,,,,CC8,
,11271,Unsuccessful,Netherlands,CC398,Carriage,2017,RIVM,mecA,Negative,,MC0398,MT0398,,ST398
,11272,Successful,Netherlands,CC22,Infection,2017,RIVM,mecA,Negative,,MC0022,MT0461,,ST22
,11273,Successful,Netherlands,CC398,Unknown,2017,RIVM,mecA,Positive,,MC0398,MT0569,,ST1232
,11274,Unsuccessful,Netherlands,CC5,Infection,2017,RIVM,mecA,Negative,,MC0005,MT5713,,ST5
,11275,Successful,Netherlands,CC22,Infection,2017,RIVM,mecA,Negative,,MC0022,MT0461,,ST22
,11276,Unsuccessful,Netherlands,CC22,Carriage,2017,RIVM,mecA,Negative,,MC0022,MT0022,,ST22
,11277,Unsuccessful,Netherlands,CC45,Unknown,2017,RIVM,mecA,Negative,,MC0045,MT1352,,ST45
,11278,Successful,Netherlands,CC22,Infection,2018,RIVM,mecA,Negative,,MC0022,MT0467,,ST22
,11279,Unsuccessful,Netherlands,CC22,Infection,2018,RIVM,mecA,Negative,,MC0022,MT0473,,ST22
,11280,Unsuccessful,Netherlands,CC22,Infection,2018,RIVM,mecA,Negative,,MC0022,MT5585,,ST22
,11281,Successful,Netherlands,CC45,Unknown,2018,RIVM,mecA,Negative,,MC0045,MT4732,,ST45
,11282,Successful,Netherlands,CC398,Unknown,2018,RIVM,mecA,Positive,,MC0398,MT0569,,ST1232
,11283,Successful,Netherlands,CC22,Infection,2018,RIVM,mecA,Negative,,MC0022,MT0467,,ST22
,11284,Unsuccessful,Netherlands,CC45,Infection,2018,RIVM,mecA,Negative,,MC0045,MT1352,,ST45
,11285,Unsuccessful,Netherlands,CC22,Unknown,2018,RIVM,mecA,Negative,,MC0022,MT0461,,ST22
,11286,Successful,Netherlands,CC5,Unknown,2018,RIVM,mecA,Negative,,MC0005,MT0037,,ST5
,11287,Unsuccessful,Netherlands,CC5,Infection,2017,RIVM,mecA,Negative,,MC0005,MT5547,,ST5
,11288,Unsuccessful,Netherlands,CC398,Infection,2017,RIVM,mecA,Positive,,MC0398,MT4884,,ST1232
,11289,Successful,Netherlands,CC5,Infection,2017,RIVM,mecA,Negative,,MC0005,MT0037,,ST5
,11290,Successful,Netherlands,CC45,Infection,2017,RIVM,mecA,Negative,,MC0045,MT4732,,ST45
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
