Time	B2	B3	B4	B5	B6	C2	C3	C4	C5	C6	D2	D3	D4	D5	D6	E2	E3	E4	E5	E6
2700	7.487051384	-3.333582643	4.618061286	5.898116784	6.26163027	8.936999811	0.929924439	8.487099823	8.04805587	5.532202427	2.276415559	-3.947664746	5.556652637	5.750300119	4.832409776	-15.15828748	5.994131074	0.039797767	5.85689392	-0.724455605
3600	5.953010216	-4.945239009	0.050467659	0.540052668	1.376674463	6.429192644	-3.578370005	2.176468553	0.227627665	-0.926481689	-1.060200262	-7.92764495	-0.224738168	-0.032153901	-0.445466276	-19.09949615	-0.182694895	-6.08532911	0.517839207	-3.640825291
4500	6.050350239	-4.263513287	-0.125931306	0.332441256	0.760539374	6.683115995	-2.683599378	1.69422139	-0.116097809	-0.985278435	0.447501575	-6.739564056	-0.362253514	-0.269908976	-0.346932669	-14.71690794	-0.038750927	-4.970840115	0.464118039	-3.243134754
5400	6.742100813	-3.723855287	-0.297900076	0.063753853	0.335696983	7.796435201	-1.881324151	1.348698073	-0.436773076	-1.012807395	2.631008441	-5.785759198	-0.450141826	-0.376636103	-0.321813661	-11.22661823	0.241565313	-4.143119978	0.326302474	-3.025046873
6300	8.186660663	-3.206735514	-0.405215864	-0.088441762	0.01075724	9.848749928	-1.095080586	0.996988444	-0.690507966	-0.991932542	5.588701212	-4.752273428	-0.532077088	-0.538665916	-0.320335509	-7.604743705	0.656823824	-3.608937642	0.225223832	-2.828474389
7200	9.842952271	-2.672107769	-0.510120404	-0.249563778	-0.205287738	11.96132639	-0.429502198	0.825967197	-0.889329607	-1.033040313	8.586853758	-3.773486218	-0.523797278	-0.675615236	-0.377475331	-3.872984114	1.21483641	-3.080680737	0.107911077	-2.755508201
8100	11.66801147	-2.01563881	-0.501816226	-0.361082141	-0.336373065	13.20057257	0.352308059	0.696679724	-1.00711487	-1.033510562	10.13022657	-2.550300784	-0.457380847	-0.715334274	-0.343883114	-1.935587778	2.16887862	-2.643603445	0.05508632	-2.682570217
9000	12.51299666	-1.300892637	-0.405308949	-0.516223924	-0.478850434	14.53849154	1.34309443	0.676036691	-1.107224144	-1.041331604	12.38757839	-0.908620266	-0.324643376	-0.740681645	-0.332121009	0.827492778	3.584494737	-2.185539447	0.05362698	-2.578584472
9900	14.15570961	-0.186842092	-0.306296871	-0.516756333	-0.551391324	17.65720647	2.842473781	0.755207484	-1.177917192	-0.983803982	16.68771167	1.547927762	-0.03910595	-0.739071524	-0.324216922	4.615340652	5.971719144	-1.667012286	0.018626527	-2.475316623
10800	17.44890549	1.430326141	-0.096342852	-0.463459961	-0.592345295	22.09412232	5.001243005	0.995029085	-1.200626028	-0.912451591	22.19422439	4.337932559	0.450240153	-0.685271215	-0.297409983	10.31601402	9.24573783	-1.073126945	0.066160885	-2.390774855
