Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7
3021.059142	-10.52745132	-5.803352281	3.191249477	9.906162027	-5.261407207	-0.242461712	-16.12710061	0.244477487	1.973130441	8.004699259	0.455869788	-2.304010031	-9.535738992	-0.601420138	4.84327256	0.615724149	-0.222813671	-0.84771893	-3.8682508	-8.107582485	6.149375406	-32.00867598	4.227180411	-20.90915289
3921.059142	-8.825277379	-4.590404923	2.699723646	9.765395492	-4.040046038	0.34441608	-12.60987523	0.211091117	1.406192207	7.680179589	1.24589347	-1.237332248	-7.150710295	-0.012989195	4.004918967	0.790242364	0.698967045	0.124852477	-1.897677416	-5.289169897	5.632066674	-19.28777753	4.672709209	-14.49671413
4821.059142	-7.546120035	-3.579554516	2.442182537	9.305144645	-3.197908414	0.623927864	-10.16748047	0.325049801	1.087947634	7.122419808	1.296566264	-1.220232328	-5.805796293	0.448220645	3.458149187	0.819646505	1.270590479	0.100688638	-0.90575828	-4.593164443	5.063695154	-13.18640671	4.74361405	-11.81440048
5721.059142	-6.522835675	-2.887058849	2.237292306	9.029599553	-2.595295685	0.843752476	-8.412586782	0.316987724	0.878191398	6.778744343	1.397412026	-1.220558115	-4.642624963	0.758972565	3.001214815	1.06273886	1.724997966	0.136633224	0.068868111	-4.191335607	4.386351098	-10.78910907	4.606315768	-10.12861786
6621.059142	-5.616866878	-2.343999272	2.120603869	9.073469981	-2.127789098	1.010082437	-6.701587814	0.424008118	0.70009749	6.804992426	1.438890237	-1.218568937	-3.638695701	0.95309972	2.615170655	1.445864352	1.978457832	0.134403542	1.094663793	-3.86872622	3.854348127	-8.940298858	4.414731354	-8.854953966
7521.059142	-4.782469279	-1.853430906	2.030611381	9.442454144	-1.701199933	1.022447189	-4.644539354	0.580491747	0.578834266	7.189230142	1.556132129	-1.222925385	-2.598398228	1.156752544	2.329025045	2.075588505	2.281259113	0.165004374	2.338771354	-3.5147291	3.431592139	-7.328860516	4.28184217	-7.917950689
8421.059142	-3.833101199	-1.445079535	2.009844339	10.26770871	-1.288221546	1.044772793	-1.974976901	0.768217976	0.52435351	8.138705398	1.668174578	-1.241036004	-1.2611791	1.411801133	2.092129032	3.105727998	2.503717567	0.113308912	4.150079531	-3.169413572	3.063155467	-5.521849935	4.248468545	-7.180687744
9321.059142	-2.707782454	-1.064785571	1.966917047	11.88020852	-0.811826733	1.068245875	0.435588127	1.105944675	0.548469361	10.01470909	1.959176511	-1.239695874	0.3481447	1.634565429	1.939314134	4.837356307	2.816195688	0.113088708	6.713768865	-2.727577205	2.824517797	-3.295180809	4.265717831	-6.572572003
10221.05914	-1.106049842	-0.584497722	1.997977639	13.71378581	-0.235181175	1.127330415	4.611960353	1.731095738	0.624947695	12.36849511	2.349078918	-1.203029427	2.907470986	2.063819578	1.891268908	6.650715252	3.226579148	0.071161832	8.549076536	-2.153653553	2.723907616	-0.12690137	4.432977639	-6.046452172
11121.05914	1.012369298	-0.104256972	2.038205863	14.95292132	0.547440698	1.171930455	7.393523524	2.64675843	0.694816361	12.56436514	2.877719423	-1.122684033	6.631824248	2.63900588	1.835969364	7.829809192	3.720914159	0.103793146	9.486056508	-1.357934557	2.719697	4.018715917	4.802985004	-5.579689206
