Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7
3033.097638	-5.415517521	-0.899301839	-4.429196623	-7.549100688	-1.679064461	-5.230304923	-6.003956627	2.353397423	-0.297570226	-0.788495398	-1.990560738	0.285621129	-4.477317307	9.674739287	2.922915554	6.009312331	-1.610596032	-8.493667596	-9.646852273	8.131979267	-5.713090502	-1.926922955	-0.503568646	1.035422657
3933.097638	-4.564436864	-0.897708133	-3.549822196	-6.201927327	-1.912209986	-4.141382209	-5.169352586	2.198729357	0.120110073	-0.975297496	-2.583971156	0.557963198	-3.432035148	8.634495528	2.224907011	5.256730825	-0.827010869	-7.510177026	-7.720155473	7.20457014	-5.070080258	-2.175993504	0.313440192	0.314711243
4833.097638	-3.857661311	-0.798757901	-2.964998322	-5.207833155	-1.890242966	-3.28075997	-4.428945002	2.22112969	0.395669342	-0.855931048	-2.718033953	0.875951023	-2.691520141	7.959026872	1.564852011	4.860287563	-0.320710531	-6.585480788	-6.362168952	6.662416997	-4.528733726	-2.29407797	0.895820085	0.010678339
5733.097638	-3.310871638	-0.693232163	-2.547201682	-4.082200574	-1.839485042	-2.648269882	-3.635490077	2.279662501	0.564557779	-0.557890092	-2.781787788	1.15772258	-2.123217764	7.516717604	1.194925793	4.723380115	-0.060599762	-5.865725693	-5.177866288	6.253283965	-4.163831073	-2.287023821	1.157193575	-0.228022497
6633.097638	-2.733885675	-0.641791143	-2.222343447	-3.050988103	-1.595075409	-2.238435759	-2.89029534	2.37953546	0.757108144	-0.202898202	-2.787195761	1.319568398	-1.516562354	7.124153303	0.877874074	4.771677546	0.181639474	-5.322587415	-4.016341132	5.972889943	-3.832949466	-2.04272527	1.370839911	-0.398008423
7533.097638	-2.148373022	-0.466326177	-1.923631173	-1.992450906	-1.541301118	-1.909986143	-1.860066229	2.491020176	0.871900352	0.321160671	-2.703570613	1.39031565	-0.85231065	6.883478103	0.719365116	5.087285397	0.307331876	-4.899076611	-2.747372107	5.856464527	-3.514694422	-1.549358873	1.634626359	-0.484707374
8433.097638	-1.495028693	-0.380721268	-1.592457293	-0.444879965	-1.377194625	-1.650333918	-0.476465589	2.663349842	0.98172373	1.132961137	-2.667105649	1.482439753	0.065556501	6.747066738	0.628792377	5.85770118	0.493919131	-4.514306127	-0.922371028	5.871478471	-3.229464215	-0.735545813	1.814789102	-0.607601926
9333.097638	-0.667971604	-0.19782391	-1.372110954	1.505657235	-1.143613123	-1.452269981	1.641122752	2.974448083	1.153874479	2.344997639	-2.492332233	1.483863197	1.395253457	6.646150599	0.603335643	7.100851893	0.796505284	-4.188951152	1.682425826	6.068819788	-2.923731934	0.676265969	2.064808289	-0.661873472
10233.09764	0.572637105	0.022634913	-1.061342476	3.752317288	-0.847178489	-1.231489096	4.153790374	3.447959316	1.382615935	4.256307699	-2.235967097	1.555216253	3.402964958	6.67182882	0.638160006	8.61217868	1.150264515	-3.886932071	4.802456544	6.293965577	-2.624832735	2.642709528	2.384865052	-0.742549336
11133.09764	2.156247963	0.242193822	-0.871255122	4.374434644	-0.428164241	-1.090297949	5.663355614	4.114419684	1.648478833	6.932542049	-1.843643581	1.602071651	6.498633656	6.882322325	0.679602935	10.05245271	1.562879029	-3.668701223	6.25809984	6.779226208	-2.346509258	3.961971044	2.799155212	-0.776072634
12033.09764	4.124232291	0.632730216	-0.614439411	6.543643228	0.239563329	-0.882595124	7.447787978	5.119566319	1.881841726	8.433050537	-1.316123761	1.620723638	8.763890581	7.2470759	0.70311285	10.50395299	2.090837365	-3.419591205	9.05155323	7.683597563	-2.075413722	4.190057695	3.261991898	-0.754273876
12933.09764	5.415061359	1.040289766	-0.324553326	9.522208983	1.320056867	-0.651257414	10.43795407	6.858426717	2.303802782	10.86076436	-0.425640858	1.741771719	10.13650199	7.965790432	0.849316238	12.15478068	2.898499461	-3.174672835	12.88633485	9.261114184	-1.726191275	6.308061728	4.057521671	-0.699839403
13833.09764	6.250091244	1.750585426	0.107157591	13.60224558	3.122579458	-0.313963134	13.32163141	9.553373941	2.902781219	14.36316426	1.036398033	1.948678425	13.20066987	9.405578961	1.146979912	14.95675003	4.093263122	-2.84991202	15.930718	11.77394065	-1.15026571	9.270346275	5.211400102	-0.619051168
14733.09764	7.558900267	2.684486983	0.582673061	18.08114972	5.251225332	0.171165483	17.16920858	12.09956795	3.820561721	19.08353335	3.305592941	2.384184914	16.24667251	11.67111423	1.634338104	18.45593513	5.908827807	-2.444848842	19.34026146	14.24895873	-0.376020313	13.34853739	7.087983764	-0.388365596
15633.09764	8.536752284	3.930467005	1.062897822	23.18706884	6.622691419	0.867776639	21.1332729	14.14125908	5.071975187	23.53603725	5.111584227	3.040808728	19.80772488	14.5323978	2.379410583	22.65043912	8.614123207	-1.799886423	22.51561326	15.89912992	0.607498347	18.44598105	9.7885392	0.010594928
16533.09764	9.916693113	5.726815735	1.725110116	28.03697041	8.633912488	1.961228323	25.45391007	17.361942	6.892273695	28.72396468	6.782436455	4.109173619	22.94741064	16.26664552	3.265261052	27.04676161	10.52747781	-1.034219311	26.67017784	18.71196808	2.028004481	23.57916714	10.91248972	0.610644396
