Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7
3073.779684	-4.091108853	-4.907307598	-3.939068555	-2.217810916	-4.587029233	0.612798369	-0.659729544	1.321481487	1.761071168	-1.002263381	-3.935167237	-0.392873465	-1.440776886	-2.390155102	-6.337630164	-2.4208082	2.495904957	-7.475279244	-1.117929275	-5.22966716	-2.666647964	-8.123411977	3.50328792	-9.946643225
3973.779684	-3.122494297	-3.434075817	-3.661077014	-1.492410872	-4.052475329	1.821713827	-0.015940239	1.294071351	1.05078174	-0.487620302	-3.360368848	0.638184646	-1.211363945	-1.702364495	-4.522205645	-0.969872379	2.223614817	-5.615850458	-0.693894702	-4.357043054	-1.450699634	-5.850734499	2.779271191	-8.228208242
4873.779684	-2.547007518	-2.488291717	-3.508455966	-1.084648131	-3.647101609	1.92374587	0.270644589	1.194639759	0.774450119	0.007878277	-2.907435253	0.948983418	-1.052112538	-1.207417058	-3.279767999	-0.15324291	1.844813235	-4.642857636	-0.358805885	-3.766525785	-0.844298843	-4.353089956	2.369714207	-7.128667744
5773.779684	-2.164091035	-1.833994156	-3.309732608	-0.794127545	-3.364688124	1.786047072	0.405820772	1.113821945	0.702518058	0.331733355	-2.491271386	0.948860635	-0.932656198	-0.924587299	-2.524589795	0.257843464	1.590118165	-4.02519901	-0.069301719	-3.386122448	-0.574508555	-3.376530051	2.059501472	-6.405337928
6673.779684	-1.974180967	-1.383643854	-3.147496961	-0.453902318	-3.143122123	1.629415587	0.496180499	1.049478782	0.637639984	0.740370762	-2.159006904	0.826512585	-0.782088591	-0.766997608	-2.079513087	0.560742778	1.399780332	-3.641995278	0.343778496	-3.171089516	-0.460277865	-2.660776069	1.856892719	-5.915670087
7573.779684	-1.769756944	-1.025733745	-2.960261629	-0.023782185	-2.875813607	1.464396554	0.674712181	1.007677061	0.638564573	1.345451402	-1.837690822	0.781470232	-0.562506759	-0.657064659	-1.763414251	0.859461506	1.286190032	-3.356673876	0.873851936	-2.969706479	-0.385407886	-1.951895596	1.709507071	-5.581113253
8473.779684	-1.544577053	-0.758831725	-2.817785888	0.598553768	-2.663340651	1.349014812	0.946511486	0.99088155	0.712034208	2.220434356	-1.607682687	0.703081822	-0.327794964	-0.586468297	-1.516488637	1.260841216	1.201707293	-3.10842398	1.741499213	-2.793130572	-0.306850657	-1.210795465	1.656197368	-5.259842534
9373.779684	-1.258623594	-0.574889342	-2.658748725	1.434070633	-2.421105875	1.336815494	1.397374056	1.080540385	0.769493732	3.159024488	-1.251490817	0.685069988	0.061527004	-0.523184452	-1.306363114	1.850867847	1.174385199	-2.926779246	3.084191513	-2.527455856	-0.24155685	-0.184803589	1.639874002	-5.030228185
10273.77968	-0.84367853	-0.353055733	-2.51303735	2.509115846	-2.141768009	1.32779414	2.176340632	1.191857762	0.81369716	4.021181731	-0.91425672	0.654964736	0.653528191	-0.376203585	-1.107316414	2.690489192	1.256919098	-2.730097605	4.589320543	-2.184869487	-0.123759556	1.201560135	1.681502185	-4.827541324
11173.77968	-0.266413128	-0.139051961	-2.358926193	3.685899883	-1.797071496	1.318783859	3.392762509	1.335273571	0.899740458	5.10860457	-0.470704816	0.695408132	1.55952161	-0.214846928	-0.89672358	3.850814075	1.367628733	-2.603641106	5.750071953	-1.709476181	0.000887316	2.919391212	1.837577412	-4.636840665
